"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2414","should saveScreenshot from another site","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","0","should switch to another window","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should switch to another window","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show getLocation command","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show if the element is clickable","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show if the element is displayed","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should get html for certain elements","","2026-05-25","skipped","2026-05-25","","","",""
"","949","should display the Convey an Image button section","HW_3_selectors","2026-05-25","passed","2026-05-25","","","",""
"","2489","should find Playwright logo text inside iframe","Working with frames","2026-05-25","passed","2026-05-25","","","",""
"","975","should allow entering email into the email field","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","1134","should display CI/CD information in Documentation","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","9223","should open Copilot plans page and start plan selection","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","1","should show if the element is displayed","","2026-05-25","skipped","2026-05-25","","","",""
"","644","should display the Convey an Image button section","HW_3_selectors","2026-05-25","passed","2026-05-25","","","",""
"","0","should fill sign up form and submit it","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show getText command","","2026-05-25","skipped","2026-05-25","","","",""
"","182","should get location GitHub link","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","613","should focus the People tab after click","HW_3_selectors","2026-05-25","passed","2026-05-25","","","",""
"","0","should show addValue command","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show using asserts","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show using asserts","","2026-05-25","skipped","2026-05-25","","","",""
"","452","should show if Protocol Commands isDisplayed after scrollIntoView to it","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","313","should show getHTML command","HW_2","2026-05-25","broken","2026-05-25","","","",""
"","2891","should open compare all features page from Pricing","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","0","should show getAttribute command","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show setValue command","","2026-05-25","skipped","2026-05-25","","","",""
"","176","should show getText command defyning language of the page","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","946","should show if navigation to API page is correct","HW_2","2026-05-25","passed","2026-05-25","","","",""
"","0","should show if an element is focused","","2026-05-25","skipped","2026-05-25","","","",""
"","3257","should navigate to API page and check Title+URL","HW_1","2026-05-25","passed","2026-05-25","","","",""
"","1","should have correct title","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show addValue command","","2026-05-25","skipped","2026-05-25","","","",""
"","2247","should focus the email input after click","HW_3_selectors","2026-05-25","broken","2026-05-25","","","",""
"","1064","should display CI/CD information in Documentation","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","2379","should open the Magic Brush page after clicking the tool card","HW_3_selectors","2026-05-25","broken","2026-05-25","","","",""
"","0","should show save screenshot command","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show if the element is visible","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should get html for certain elements","","2026-05-25","skipped","2026-05-25","","","",""
"","0","should show setValue command","","2026-05-25","skipped","2026-05-25","","","",""
"","3669","should open Trending Developers page from Open Source menu","HW_4_test_cases","2026-05-25","passed","2026-05-25","","","",""
"","4798","should type into search and clear the search input","HW_1","2026-05-25","passed","2026-05-25","","","",""
